t,x[0],x[1],x[2],x[3]
0.0,1.5707963267948966,0.0,0.7853981633974483,0.0
0.020202020202020204,1.5687967624689119,-0.19797832669256143,0.7853994119881693,0.00027848782929781445
0.04040404040404041,1.5627936726526066,-0.3964809514832427,0.7854231803073106,0.002600720309814337
0.06060606060606061,1.5527684417229057,-0.5963039886942033,0.7855332319676437,0.009190727259079578
0.08080808080808081,1.5386862262726768,-0.7982597291572022,0.785838205963455,0.022267499323584235
0.10101010101010102,1.5204955218854745,-1.0031868188394844,0.7864915111121268,0.044043152726225186
0.12121212121212122,1.4981275557033134,-1.2119567141591685,0.7876910733260921,0.07670905457311761
0.14141414141414144,1.471495624889769,-1.4254715780787224,0.7896786092322938,0.12240081101406769
0.16161616161616163,1.4404946391872329,-1.6446439081501742,0.7927378510526927,0.18312598743581776
0.18181818181818182,1.4050014010847083,-1.8703399334770248,0.7971907157383566,0.2606268606917161
0.20202020202020204,1.364876648277088,-2.103255100037602,0.8033896690105661,0.35613126324188743
0.22222222222222224,1.319970712503004,-2.343669772983089,0.8117033267523931,0.4699168350513426
0.24242424242424243,1.2701359470425755,-2.5910090218399096,0.8224904918149397,0.6005820410777409
0.26262626262626265,1.2152507623971578,-2.843120822868421,0.836055511596131,0.7439097443519533
0.2828282828282829,1.1552614247176867,-3.0952482328983937,0.8525762359410636,0.8913085215262205
0.30303030303030304,1.090246190958216,-3.338918587717214,0.8719987053765562,1.02819013042868
0.32323232323232326,1.0204969204722356,-3.561506291844321,0.8939072203001732,1.133427157060743
0.3434343434343435,0.9465918706427843,-3.7477722607884547,0.9174104756349759,1.1818244114823082
0.36363636363636365,0.8694093365221035,-3.884157273956525,0.9411199696670186,1.1507474773911899
0.38383838383838387,0.7900384764414997,-3.964114964760174,0.9632870551562376,1.0283878059436675
0.4040404040404041,0.7096053241765966,-3.9905181944041637,0.9820742099472365,0.8178088371568336
0.42424242424242425,0.6291008526153458,-3.973102036728022,0.9958334766900819,0.5336574328257475
0.4444444444444445,0.5492929471544117,-3.9233781877659366,1.0032691319815426,0.19494287086140105
0.4646464646464647,0.47073428676787216,-3.8506919948858798,1.0034616136323187,-0.18078931569718076
0.48484848484848486,0.3938248516989476,-3.7607512170538646,0.9958082435784927,-0.579857953239571
0.5050505050505051,0.31888468943122183,-3.6558863574604032,0.9799429114180059,-0.992401096452045
0.5252525252525253,0.24621334097390415,-3.535962678030447,0.9556680519329867,-1.4114181205540222
0.5454545454545455,0.17612992978204628,-3.3993200159816,0.9229069248149119,-1.8318109453359828
0.5656565656565657,0.10899595788651428,-3.243532593895106,0.8816723002280193,-2.2497375016620804
0.5858585858585859,0.0452247578149475,-3.0659751463323053,0.8320448022933787,-2.6622924883209205
0.6060606060606061,-0.014718874358170164,-2.8642367190605618,0.7741550924643802,-3.067429034834296
